step,time,rain_volume,eta_volume,max_eta,min_eta
283,28.30,0.000000,-nan(ind),inf,-inf
284,28.40,0.000000,-nan(ind),inf,-inf
285,28.50,0.000000,-nan(ind),inf,-inf
286,28.60,0.000000,-nan(ind),inf,-inf
287,28.70,0.000000,-nan(ind),inf,-inf
288,28.80,0.000000,-nan(ind),inf,-inf
289,28.90,0.000000,-nan(ind),inf,-inf
290,29.00,0.000000,-nan(ind),inf,-inf
291,29.10,0.000000,-nan(ind),inf,-inf
292,29.20,0.000000,-nan(ind),inf,-inf
293,29.30,0.000000,-nan(ind),inf,-inf
294,29.40,0.000000,-nan(ind),inf,-inf
295,29.50,0.000000,-nan(ind),inf,-inf
296,29.60,0.000000,-nan(ind),inf,-inf
297,29.70,0.000000,-nan(ind),inf,-inf
298,29.80,0.000000,-nan(ind),inf,-inf
299,29.90,0.000000,-nan(ind),inf,-inf
300,30.00,0.000000,-nan(ind),inf,-inf
301,30.10,0.000000,-nan(ind),inf,-inf
302,30.20,0.000000,-nan(ind),inf,-inf
303,30.30,0.000000,-nan(ind),inf,-inf
304,30.40,0.000000,-nan(ind),inf,-inf
305,30.50,0.000000,-nan(ind),inf,-inf
306,30.60,0.000000,-nan(ind),inf,-inf
307,30.70,0.000000,-nan(ind),inf,-inf
308,30.80,0.000000,-nan(ind),inf,-inf
309,30.90,0.000000,-nan(ind),inf,-inf
310,31.00,0.000000,-nan(ind),inf,-inf
311,31.10,0.000000,-nan(ind),inf,-inf
312,31.20,0.000000,-nan(ind),inf,-inf
313,31.30,0.000000,-nan(ind),inf,-inf
314,31.40,0.000000,-nan(ind),inf,-inf
315,31.50,0.000000,-nan(ind),inf,-inf
316,31.60,0.000000,-nan(ind),inf,-inf
317,31.70,0.000000,-nan(ind),inf,-inf
318,31.80,0.000000,-nan(ind),inf,-inf
319,31.90,0.000000,-nan(ind),inf,-inf
320,32.00,0.000000,-nan(ind),inf,-inf
321,32.10,0.000000,-nan(ind),inf,-inf
322,32.20,0.000000,-nan(ind),inf,-inf
323,32.30,0.000000,-nan(ind),inf,-inf
324,32.40,0.000000,-nan(ind),inf,-inf
325,32.50,0.000000,-nan(ind),inf,-inf
326,32.60,0.000000,-nan(ind),inf,-inf
327,32.70,0.000000,-nan(ind),inf,-inf
328,32.80,0.000000,-nan(ind),inf,-inf
329,32.90,0.000000,-nan(ind),inf,-inf
330,33.00,0.000000,-nan(ind),inf,-inf
331,33.10,0.000000,-nan(ind),inf,-inf
332,33.20,0.000000,-nan(ind),inf,-inf
333,33.30,0.000000,-nan(ind),inf,-inf
334,33.40,0.000000,-nan(ind),inf,-inf
335,33.50,0.000000,-nan(ind),inf,-inf
336,33.60,0.000000,-nan(ind),inf,-inf
337,33.70,0.000000,-nan(ind),inf,-inf
338,33.80,0.000000,-nan(ind),inf,-inf
339,33.90,0.000000,-nan(ind),inf,-inf
340,34.00,0.000000,-nan(ind),inf,-inf
341,34.10,0.000000,-nan(ind),inf,-inf
342,34.20,0.000000,-nan(ind),inf,-inf
343,34.30,0.000000,-nan(ind),inf,-inf
344,34.40,0.000000,-nan(ind),inf,-inf
345,34.50,0.000000,-nan(ind),inf,-inf
346,34.60,0.000000,-nan(ind),inf,-inf
347,34.70,0.000000,-nan(ind),inf,-inf
348,34.80,0.000000,-nan(ind),inf,-inf
349,34.90,0.000000,-nan(ind),inf,-inf
350,35.00,0.000000,-nan(ind),inf,-inf
351,35.10,0.000000,-nan(ind),inf,-inf
352,35.20,0.000000,-nan(ind),inf,-inf
353,35.30,0.000000,-nan(ind),inf,-inf
354,35.40,0.000000,-nan(ind),inf,-inf
355,35.50,0.000000,-nan(ind),inf,-inf
356,35.60,0.000000,-nan(ind),inf,-inf
357,35.70,0.000000,-nan(ind),inf,-inf
358,35.80,0.000000,-nan(ind),inf,-inf
359,35.90,0.000000,-nan(ind),inf,-inf
360,36.00,0.000000,-nan(ind),inf,-inf
361,36.10,0.000000,-nan(ind),inf,-inf
362,36.20,0.000000,-nan(ind),inf,-inf
363,36.30,0.000000,-nan(ind),inf,-inf
364,36.40,0.000000,-nan(ind),inf,-inf
365,36.50,0.000000,-nan(ind),inf,-inf
366,36.60,0.000000,-nan(ind),inf,-inf
367,36.70,0.000000,-nan(ind),inf,-inf
368,36.80,0.000000,-nan(ind),inf,-inf
369,36.90,0.000000,-nan(ind),inf,-inf
370,37.00,0.000000,-nan(ind),inf,-inf
371,37.10,0.000000,-nan(ind),inf,-inf
