step,time,rain_volume,eta_volume,max_eta,min_eta
45,4.50,0.000040,26.191950,99989.554688,-99995.093750
46,4.60,0.000040,27.245813,99997.898438,-99997.750000
47,4.70,0.000040,27.169962,99982.687500,-99995.093750
48,4.80,0.000039,27.958996,99982.687500,-99995.093750
49,4.90,0.000039,28.827332,99994.500000,-99995.093750
50,5.00,0.000038,28.482683,99986.218750,-99995.093750
51,5.10,0.000038,29.100389,99982.687500,-99999.289062
52,5.20,0.000038,30.051128,99992.375000,-99995.093750
53,5.30,0.000037,29.004671,99982.687500,-99996.890625
54,5.40,0.000037,31.003122,99982.687500,-99995.093750
55,5.50,0.000037,30.969088,99982.687500,-99995.093750
56,5.60,0.000036,30.207090,99998.843750,-99995.093750
57,5.70,0.000036,31.032101,99996.406250,-99995.093750
58,5.80,0.000035,32.494770,99982.687500,-99995.093750
59,5.90,0.000035,30.640326,99998.359375,-99995.828125
60,6.00,0.000035,31.487417,99982.687500,-99995.093750
61,6.10,0.000034,32.375103,99998.718750,-99995.093750
62,6.20,0.000034,32.303047,99999.093750,-99999.312500
63,6.30,0.000034,32.524235,99988.359375,-99995.093750
64,6.40,0.000033,32.894817,99984.585938,-99995.093750
65,6.50,0.000033,32.705853,99987.312500,-99998.164062
66,6.60,0.000033,32.955765,99982.687500,-99995.093750
67,6.70,0.000032,33.301434,99988.437500,-99995.093750
68,6.80,0.000032,34.019966,99988.500000,-99995.093750
69,6.90,0.000032,33.161270,99982.687500,-99995.093750
70,7.00,0.000031,35.096924,99982.687500,-99995.093750
71,7.10,0.000031,33.845692,99982.687500,-99995.093750
72,7.20,0.000031,34.300900,99995.500000,-99995.093750
73,7.30,0.000031,33.610126,99982.687500,-99995.093750
74,7.40,0.000030,35.572819,99982.687500,-99999.906250
75,7.50,0.000030,34.192005,99982.687500,-99999.968750
76,7.60,0.000030,35.116035,99997.210938,-99995.093750
77,7.70,0.000029,34.097149,99995.328125,-99995.093750
78,7.80,0.000029,34.595566,99988.718750,-99995.093750
79,7.90,0.000029,35.287197,99982.687500,-99995.093750
80,8.00,0.000028,35.452454,99995.484375,-99995.093750
81,8.10,0.000028,35.062595,99982.687500,-99995.093750
82,8.20,0.000028,36.978390,99983.312500,-99995.093750
83,8.30,0.000028,34.760612,99995.281250,-99995.093750
84,8.40,0.000027,36.095638,99992.398438,-99995.093750
85,8.50,0.000027,35.704124,99995.281250,-99995.093750
86,8.60,0.000027,35.176147,99990.898438,-99999.039062
87,8.70,0.000027,36.420540,99987.062500,-99995.585938
88,8.80,0.000026,37.846634,99997.101562,-99995.093750
89,8.90,0.000026,35.225975,99990.875000,-99995.093750
90,9.00,0.000026,36.352989,99988.671875,-99995.093750
91,9.10,0.000025,37.197895,99999.867188,-99995.093750
92,9.20,0.000025,36.135349,99987.359375,-99995.093750
93,9.30,0.000025,36.442368,99994.875000,-99997.625000
94,9.40,0.000025,38.372135,99987.328125,-99999.835938
95,9.50,0.000024,36.278133,99998.960938,-99998.953125
96,9.60,0.000024,36.268398,99999.843750,-99998.468750
97,9.70,0.000024,37.424904,99991.140625,-99999.515625
98,9.80,0.000024,37.159172,99993.687500,-99995.093750
99,9.90,0.000024,37.058277,99991.140625,-99995.093750
100,10.00,0.000023,37.481853,99991.140625,-99999.492188
101,10.10,0.000023,36.631336,99991.140625,-99998.765625
102,10.20,0.000023,37.324333,99998.671875,-99998.070312
103,10.30,0.000023,37.310345,99991.140625,-99995.093750
104,10.40,0.000022,37.518791,99991.140625,-99995.093750
105,10.50,0.000022,37.419331,99999.875000,-99995.093750
106,10.60,0.000022,38.200253,99991.140625,-99995.093750
107,10.70,0.000022,36.831024,99991.140625,-99995.093750
108,10.80,0.000022,37.303169,99991.140625,-99995.093750
